class,tweet
1,"ORE99E, from Portland to Multnomah - Clackamas County Line, Delay 20min-2hrs, Road work has the left &amp; center lan... "
2,CLEARED: IL Rte - Southbound at McGaw Rd the right lane is blocked due to roadwork. Expect heavy delays.
1,highway MM . SB at Lebanon/ mile Left lanes slow hours due to maintenance work
1,Roadwork on highway westbound between Exit - PA and Mile Post: .. There is a shoulder closed.
1,Rdwork on highway West btw Exit - CT (Danbury) and Exit - highway/U202/Lake Ave (Danbury) left lane closed until 6AM...
0,&gt; weighs in on the importance of flexibility &amp; balance in workplace design 
0," We hope it helped you relax a little, Cara! Make sure to visit regularly for heal… "
0,"This funny, accessible book is a wonderful love letter to math: "
0,Click here to buy USD . Travel Recorder Night Vision Vehicle 1080P HD rear view m... 
2,"Cleared: Disabled vehicle in Duval on highway south before highway, right lane blocked. Last updated at ::03AM."
1,"New Bedford, MA: Route South at the bottom of the Purchase Street exit ramp - Car stuck in flood waters #mawx"
1,Motor Vehicle Accident | E KIEST BLVD / RAMSEY AVE () | | EN33 | | : | A
2,highway//: Open both directions between milepost  and the South entrance to Yellowstone National Park. #wyoroad
1,Crash MI SB in York. Left&amp;Middle lanes blocked. Caution 
0,"Fake News story of secret dinner with Putin is ""sick."" All G leaders, and spouses, were invited by the Chancellor of Germany. Press knew!"
1,"Updated: Crash in Santa Rosa on highway west at Exit Avalon Blvd, right lane blocked. Last updated at ::32AM. "
0, Feels like old friends reuniting. #QueenSugar
2,"Other Traffic on Westbound highway WB at Mile Marker ..

 of westbound lanes are closed."
1,Crews are preparing to close the highway EB Water St. on-ramp. #ImprovingSafety #BirdsEyeView 
2,"Cleared: Disabled vehicle in Miami-Dade on SR- east before highway/Florida's Turnpike/highway/SR- East, left lane blocked. Last..."
2,CLEARED: Incident cleared on PA northbound at Thirtyfirst St Bridge/Strip District.
0,Fr don't touch my dreads 
0,Healthy eating starts early! That’s why we’re strengthening nutrition standards for meals served in day care: 
1,highway MM . EB near highway / mile All lanes closed &lt;= mins due to a crash
2,"Accident cleared in #Detroit on highway NB at Springwells St, stop and go traffic back to Fort St, delay of mins #traffic"
0,"Here's the latest video update from the City of Dubuque on the Southwest Arterial/highway progress. Enjoy! 

"
2,Cleared | SHAWANO Co | Crash | WIS WB | MILE MARKER | Left Lane | 
1,"highway East &amp; West at IN- Exit (Knightstown): Left lanes closed starting at 9PM until Monday, Aug. at 6AM… "
0, Trying to get my hardheaded mother out of South Houston right now. He'll be next on the priority list.
0, Absolutely!! We're placing a nice bet and more on this one my friend! #WorldSeries #RallyTogether
1,CRASH - INNER LOOP near MD /Camp Meade Rd - No lane info yet. Slow from after MD and on NORTH from MD  #mdtraffic
1,Southport - highway CT Tpk SB - Between Southport (#) and Sherwood Is. State Park (#) - Accident - left lane blocked - -car accident
0, We can confirm that Helper Cheesy Italian Shells has changed to now contain % real cheese &amp; no artificial colors / flavors!
2,"Cleared: Disabled vehicle in Miami-Dade on highway south before Exit SR-/NW St/NW St, right lanes blocked. Last updated at..."
2,Calgary - southbound Deerfoot Trail off ramp Ave Ne collision in the left hand lane - CLEAR
0,Never underestimate the strength and resilience of the American economy. 
1,Incident on #6Line SB from Parkchester-E 177th Street Station to Longwood Avenue Station 
0,"We are proud to participate in the first Innovation &amp; Impact Summit, hosted by and "
2,WB delays prior to Bay Bridge have cleared. --BAYSPAN #mdtraffic
2,"For all of you traveling from Illinois on highway, be aware that there is a good amount of construction which could... "
2,Cleared | ROCK Co | Crash | highway EB/WB | BUTTS CORNERS RD | All Lanes Blocked (Both Directions) | 
0, Hi Bryan. You can learn how to adjust mobile push notifications here: Thank you! -CB
1,Update: Incident on #7Line Manhattan bound at Hunters Point Avenue Station 
0,Support the bold steps we're taking against climate change. Say you're ready to #ActOnClimate: 
0,"They'rrreeee baaaaack!  After a brief holiday break, the Weekly Market Reports are once again…weekly!  Monitor... "
